Дата;Цена
02.08.2021;286.75
30.07.2021;287.35
29.07.2021;287.00
28.07.2021;282.20
27.07.2021;278.08
26.07.2021;281.05
23.07.2021;279.51
22.07.2021;283.28
21.07.2021;282.90
20.07.2021;277.30
19.07.2021;275.51
16.07.2021;279.65
15.07.2021;280.01
14.07.2021;284.60
13.07.2021;293.83
12.07.2021;297.39
09.07.2021;295.22
08.07.2021;292.86
07.07.2021;297.39
06.07.2021;293.45
05.07.2021;291.10
02.07.2021;285.65
01.07.2021;285.74
30.06.2021;281.80
29.06.2021;276.80
28.06.2021;276.99
25.06.2021;277.19
24.06.2021;277.47
23.06.2021;277.35
22.06.2021;277.00
21.06.2021;272.62
18.06.2021;270.06
17.06.2021;272.50
16.06.2021;271.80
15.06.2021;272.72
14.06.2021;279.50
11.06.2021;277.05
10.06.2021;276.10
09.06.2021;275.65
08.06.2021;275.36
07.06.2021;275.67
04.06.2021;274.30
03.06.2021;272.10
02.06.2021;271.15
01.06.2021;263.86
31.05.2021;261.03
28.05.2021;262.00
27.05.2021;262.96
26.05.2021;263.09
25.05.2021;259.79
24.05.2021;261.24
21.05.2021;258.00
20.05.2021;259.16
19.05.2021;260.90
18.05.2021;266.22
17.05.2021;255.15
14.05.2021;249.55
13.05.2021;247.16
12.05.2021;241.79
11.05.2021;242.50
10.05.2021;241.41
07.05.2021;241.70
06.05.2021;243.00
05.05.2021;237.50
04.05.2021;233.80
30.04.2021;231.38
29.04.2021;230.51
28.04.2021;232.96
27.04.2021;232.00
26.04.2021;233.23
23.04.2021;232.62
22.04.2021;230.93
21.04.2021;230.84
20.04.2021;230.00
19.04.2021;231.17
16.04.2021;235.10
15.04.2021;234.63
14.04.2021;235.32
13.04.2021;227.99
12.04.2021;222.87
09.04.2021;222.15
08.04.2021;224.30
07.04.2021;224.51
06.04.2021;222.95
05.04.2021;225.06
02.04.2021;228.40
01.04.2021;226.94
31.03.2021;227.24
30.03.2021;225.93
29.03.2021;228.74
26.03.2021;227.30
25.03.2021;224.84
24.03.2021;223.65
23.03.2021;221.62
22.03.2021;221.88
19.03.2021;225.40
18.03.2021;224.35
17.03.2021;229.90
16.03.2021;234.02
15.03.2021;237.79
12.03.2021;233.80
11.03.2021;232.47
10.03.2021;231.69
09.03.2021;232.10
05.03.2021;227.00
04.03.2021;221.14
03.03.2021;222.15
02.03.2021;222.74
01.03.2021;221.47
26.02.2021;217.56
25.02.2021;221.70
24.02.2021;222.55
22.02.2021;225.63
20.02.2021;225.84
19.02.2021;226.00
18.02.2021;224.47
17.02.2021;229.14
16.02.2021;232.46
15.02.2021;229.22
12.02.2021;226.71
11.02.2021;221.35
10.02.2021;223.24
09.02.2021;227.73
08.02.2021;228.00
05.02.2021;222.01
04.02.2021;219.79
03.02.2021;218.10
02.02.2021;214.42
01.02.2021;214.66
29.01.2021;212.83
28.01.2021;217.70
27.01.2021;217.40
26.01.2021;218.80
25.01.2021;218.68
22.01.2021;215.49
21.01.2021;217.28
20.01.2021;224.30
19.01.2021;223.15
18.01.2021;226.88
15.01.2021;226.50
14.01.2021;228.86
13.01.2021;226.80
12.01.2021;228.69
11.01.2021;227.60
08.01.2021;225.49
06.01.2021;214.38
05.01.2021;215.32
04.01.2021;212.71
30.12.2020;212.98
29.12.2020;208.75
28.12.2020;206.11
25.12.2020;205.03
24.12.2020;206.24
23.12.2020;207.63
22.12.2020;208.40
21.12.2020;203.46
18.12.2020;212.69
17.12.2020;214.52
16.12.2020;206.20
15.12.2020;201.00
14.12.2020;199.91
11.12.2020;201.50
10.12.2020;192.95
09.12.2020;189.35
08.12.2020;190.00
07.12.2020;190.76
04.12.2020;188.79
03.12.2020;185.12
02.12.2020;187.22
01.12.2020;185.34
30.11.2020;181.89
27.11.2020;185.90
26.11.2020;185.52
25.11.2020;188.03
24.11.2020;186.76
23.11.2020;184.15
20.11.2020;183.21
19.11.2020;184.16
18.11.2020;185.00
17.11.2020;182.90
16.11.2020;185.32
13.11.2020;180.30
12.11.2020;172.91
11.11.2020;170.53
10.11.2020;172.92
09.11.2020;170.13
06.11.2020;164.92
05.11.2020;163.70
03.11.2020;161.09
02.11.2020;157.74
30.10.2020;154.28
29.10.2020;156.74
28.10.2020;154.30
27.10.2020;159.21
26.10.2020;162.17
23.10.2020;164.96
22.10.2020;165.27
21.10.2020;164.37
20.10.2020;166.53
19.10.2020;163.60
16.10.2020;163.98
15.10.2020;167.16
14.10.2020;167.24
13.10.2020;166.37
